index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
55791,,,,,,,,,,"Hiramaki, Daisuke:Director","Takadera, Takeshi:Sound Director","Akasaka, Aka:Original Creator","Yokoyari, Mengo:Original Character Design","""Oshi no Ko"" Season 2",N/A,#1402,"166,689",0,0,0,"['Hiramaki, Daisuke', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Akasaka, Aka', 'Original Creator'], ['Yokoyari, Mengo', 'Original Character Design']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
    None found, add some","Licensors, 
Sentai Filmworks","Studios, 
Doga Kobo","Source, 
  Manga","Genres, 
DramaDrama,         SupernaturalSupernatural","Themes, 
ReincarnationReincarnation,         ShowbizShowbiz","Demographic, 
SeinenSeinen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/126146/Oshi_no_Ko, Prequel:: /anime/52034/Oshi_no_Ko"
49785,,,,,,,,,,"Ishihira, Shinji:Director","Watanabe, Toshinori:Director","Hata, Shouji:Sound Director","Mashima, Hiro:Original Creator",Fairy Tail: 100 Years Quest,N/A,#2345,"81,404",0,0,0,"['Ishihira, Shinji', 'Director'], ['Watanabe, Toshinori', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Mashima, Hiro', 'Original Creator']","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Studios, 
J.C.Staff","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #2345","Adaptation:: /manga/114701/Fairy_Tail__100_Years_Quest, Prequel:: /anime/35972/Fairy_Tail__Final_Series"
52635,,,,,,,,,,"Suzuki, Kei:Director","Takeuchi, Kazuyoshi:Director","Yamaguchi, Takayuki:Sound Director","Yoshida, Erika:Script",Kami no Tou 2nd Season,N/A,#2483,"74,006",0,0,0,"['Suzuki, Kei', 'Director'], ['Takeuchi, Kazuyoshi', 'Director'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Yoshida, Erika', 'Script']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Sola Entertainment","Licensors, 
    None found, add some","Studios, 
The Answer Studio","Source, 
  Web manga","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/122663/Tower_of_God, Prequel:: /anime/40221/Kami_no_Tou"
54744,,,,,,,,,,"Kobayashi, Ryou:Producer","Itou, Ryouta:Director","Takadera, Takeshi:Sound Director","Tsutsumi, Hiroaki:Music",Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,N/A,#2614,"67,981",0,0,0,"['Kobayashi, Ryou', 'Producer'], ['Itou, Ryouta', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Tsutsumi, Hiroaki', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Previewed, 
    Jun 16, 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Doga Kobo","Source, 
  Light novel","Genres, 
ComedyComedy,         RomanceRomance","Theme, 
SchoolSchool","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/134341/Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san
49981,,,,,,,,,,"Inaba, Yuki:Director","Nagasaki, Yukio:Sound Director",AliA:Theme Song Performance,AYAME:Theme Song Performance,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",N/A,#3218,"46,120",0,0,0,"['Inaba, Yuki', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['AliA', 'Theme Song Performance'], ['AYAME', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Pony Canyon,       Bit grooove promotion","Licensors, 
    None found, add some","Studios, 
SILVER LINK.,       Studio Palette","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         RomanceRomance","Theme, 
MilitaryMilitary","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/106755/Kimi_to_Boku_no_Saigo_no_Senjou_Aruiwa_Sekai_ga_Hajimaru_Seisen, Prequel:: /anime/40595/Kimi_to_Boku_no_Saigo_no_Senjou_Aruiwa_Sekai_ga_Hajimaru_Seisen"
55848,,,,,,,,,,"Osada, Eri:Director","Nagatsuki, Tappei:Script","Umehara, Eiji:Script","Mori, Calliope:Theme Song Performance",Isekai Suicide Squad,N/A,#3625,"37,590",0,0,0,"['Osada, Eri', 'Director'], ['Nagatsuki, Tappei', 'Script'], ['Umehara, Eiji', 'Script'], ['Mori, Calliope', 'Theme Song Performance']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Wit Studio","Source, 
  Other","Genre, 
ActionAction","Theme, 
IsekaiIsekai","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",
52481,,,,,,,,,,"Ueno, Takehiro:Director","Konuma, Noriyoshi:Sound Director",Hiten:Original Character Design,"Mikawa, Ghost:Original Creator",Gimai Seikatsu,N/A,#3773,"34,244",0,0,0,"['Ueno, Takehiro', 'Director'], ['Konuma, Noriyoshi', 'Sound Director'], ['Hiten', 'Original Character Design'], ['Mikawa, Ghost', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Studio Deen","Source, 
  Light novel","Genre, 
RomanceRomance","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3773",Adaptation:: /manga/133352/Gimai_Seikatsu
55749,,,,,,,,,,"Kuwabara, Satoshi:Director","Seo, Kouji:Original Creator","Sakurai, Miki:Music","Oochi, Keiichirou:Series Composition",Megami no Café Terrace Season 2,N/A,#4547,"22,866",0,0,0,"['Kuwabara, Satoshi', 'Director'], ['Seo, Kouji', 'Original Creator'], ['Sakurai, Miki', 'Music'], ['Oochi, Keiichirou', 'Series Composition']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Tezuka Productions","Source, 
  Manga","Genres, 
ComedyComedy,         RomanceRomance,         EcchiEcchi","Themes, 
Adult CastAdult Cast,         HaremHarem","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/133696/Megami_no_Café_Terrace, Prequel:: /anime/52973/Megami_no_Café_Terrace"
53802,,,,,,,,,,"Okamoto, Hideki:Director","Tsutsumi, Hiroaki:Music","Yoshioka, Takao:Series Composition","Hashimoto, Yuu:Original Creator",2.5-jigen no Ririsa,N/A,#4892,"19,453",0,0,0,"['Okamoto, Hideki', 'Director'], ['Tsutsumi, Hiroaki', 'Music'], ['Yoshioka, Takao', 'Series Composition'], ['Hashimoto, Yuu', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Shueisha","Licensors, 
    None found, add some","Studios, 
J.C.Staff","Source, 
  Manga","Genres, 
ComedyComedy,         EcchiEcchi","Themes, 
HaremHarem,         Otaku CultureOtaku Culture,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/120974/25-jigen_no_Ririsa
52367,,,,,,,,,,"Kawai, Shigeki:Director","Aketagawa, Jin:Sound Director","Nakanishi, Yasuhiro:Script","Suehiro, Kenichiro:Music",Isekai Shikkaku,N/A,#5025,"18,229",0,0,0,"['Kawai, Shigeki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Nakanishi, Yasuhiro', 'Script'], ['Suehiro, Kenichiro', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Magic Capsule,       Nexus,       Kadokawa","Licensors, 
    None found, add some","Studios, 
AtelierPontdarc","Source, 
  Web manga","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy","Theme, 
IsekaiIsekai","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/122150/Isekai_Shikkaku
